"location_id","sensors_id","location","datetime","lat","lon","parameter","units","value","locationid"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
